"Search1","Tìm kiếm"
"Time Created","Thời gian tạo"
"Auction method","Phương thức đấu giá"
"Active status","Trạng thái hoạt động"
"Free Auction","Đấu giá tự do"
"Round Auction","Đấu giá vòng"
"Private Auction","Đấu giá kín"
"Not active","Không kích hoạt"
"Enter product name, person name","Nhập tên tài sản, chủ tài sản"
"Person Name","Họ và tên người có tài sản bán"
"Step Price","Bước giá"
"Auction Method","Phương thức đấu giá"
"Time Create","Thời gian tạo"
"Deposit Price","Tiền đặt trước"
"Profile Price","Tiền hồ sơ"
"Create Auction Session","Tạo phiên đấu giá"
"Full Name","Họ và tên người có tài sản bán"
"Owner Mail","Mail"
"Work Place","Nơi công tác"
"Tax","Tax"
"Asset Name","Tên tài sản"
"Property Type","Loại tài sản"
"Auction Address","Địa chỉ"
"Aution State","Tỉnh/thành phố"
"Aution District","Quận/Huyện"
"Aution Commune","Phường/Xã"
"Upload file","Hồ sơ pháp lý"
"Description Auction","Mô tả thông tin đấu giá"
"Where property auctions are held","Nơi tổ chức đấu giá tài sản"
"Where to see auction properties","Nơi xem tài sản đấu giá"
"Time to see assets","Thời gian xem tài sản"
"Featured Property","Tài sản nổi bật"
"Are you sure to convert from enable to disable?","Chắc chắn đổi từ kích hoạt tài sản sang không kích hoạt tài sản?"
"Are you sure to convert from disable to enable?","Chắc chắn đổi từ không kích hoạt tài sản sang kích hoạt tài sản?"
"Create new auction session","Tạo phiên đấu giá"
"Auction name","Tên tài sản"
"Auction code","Mã tài sản"
"Auction Secretary","Thư ký phiên đấu giá"
"Auction Represent","Đại diện người tham gia đấu giá"
"Auctioneer","Đấu giá viên"
"Auction registration start time","Thời gian bắt đầu đăng ký đấu giá"
"Auction registration closing time","Thời gian kết thúc đăng ký đấu giá"
"Waiting time for attendance/Minutes","Thời gian chờ điểm danh/Phút"
"Waiting time for attendance","Thời gian chờ điểm danh"
"Content Announce Wait Attendance","Nội dung thông báo chờ điểm danh"
"Time to start bidding","Thời gian bắt đầu trả giá"
"Bidding end time","Thời gian kết thúc trả giá"
"Number of requests to participate in the auction","Số lượt yêu cầu tham gia phiên đấu giá"
"Auction List","Danh sách phiên đấu giá"
"Auction status","Trạng thái phiên đấu giá"
"Auctioning","Đang đấu giá"
"Auction end","Đấu giá kết thúc"
"Reject","Từ chối"
"New create","Mới tạo"
"The remaining time to register for the auction","Thời gian còn lại đăng ký đấu giá"
"Remaining time to pay the price","Thời gian còn lại trả giá"
"Active status","Trạng thái hoạt động"
"View detail auction session","Xem phiên đấu giá"
"Auction will be comming, remain :","Cuộc đấu giá sắp diễn ra, còn :"
"Days","Ngày"
"Hours","Giờ"
"Minutes","Phút"
"Seconds","Giây"
"Auction code:","Mã tài sản:"
"Auction owner:","Người có tài sản:"
"Auction organization:","Tổ chức đấu giá tài sản:"
"Auction method:","Phương thức đấu giá:"
"Time to start register:","Thời gian mở đăng kí:"
"Time end register:","Thời gian kết thức đăng kí:"
"Time start bid:","Thời gian bắt đầu trả giá:"
"Time end bid:","Thời gian kết thúc trả giá:"
"Time wait attendence:","Thời gian điểm danh:"
"Start price:","Giá khởi điểm:"
"Step price:","Bước giá:"
"The auction hasn't taken place yet!","Cuộc đấu giá chưa diễn ra!"
"Login to register to join","Đăng nhập để đăng kí tham gia"
"Regiter Auction","Đăng kí đấu giá"
"Not during the auction registration period","Không trong thời gian đăng ký đấu giá!"
"Relevant legal records","Hồ sơ pháp lý liên quan"
"Auction information","Thông tin phiên đấu giá"
"Dowload","Tải về"
"Related Product","Tài sản tương tự"
"Auction","Đấu giá"
"Auction type:","Loại tài sản:"
"Where to see auction:","Nơi xem tài sản:"
"Time to see auction:","Thời gian xem tài sản:"
"Profile price:","Tiền hồ sơ:"
"Deposit price:","Tiền đặt trước:"
"Current price:","Giá hiện tại:"
"Number of bid requests:","Số lượt yêu cầu đấu giá:"
"Participants","Thành phần tham gia"
"Auction secretary:","Thư ký phiên đấu giá:"
"Owner represent:","Đại diện bên có tài sản:"
"Auctioneer:","Đấu giá viên:"
"Auction represent:","Đại diện Người tham giá đấu giá:"
"Join the auction","Tham gia đấu giá"
"Bid price","Số tiền đấu giá"
"Auction amount = Current price + Step price","Số tiền đấu giá = Số tiền hiện tại + Bước giá"
"Product information","Thông tin tài sản"
"Auction session is going on.","Phiên đấu giá đang diễn ra."
"Join auction","Tham gia đấu giá"
"List person join auction","Danh sách người đăng ký đấu giá"
"First and last name","Họ và tên"
"Profile price","Tiền hồ sơ"
"Deposit price","Tiền đặt trước"
"Enter the auction price","Nhập số tiền đấu giá"
"Edit auction session","Chỉnh sửa phiên đấu giá"
"View auction details","Xem chi tiết phiên đấu giá"
"Auction name:","Tên tài sản đấu giá:"
"Number of bid requests:","Số lượt yêu cầu đấu giá:"
"Real estate","Bất động sản"
"Please enter information required!","Vui lòng nhập thông tin bắt buộc!"
"Time end register must be greater than time start register!","Thời gian kết thúc đăng ký đấu giá phải lớn hơn thời gian bắt đầu đăng ký đấu giá!",
"Time wait attendence must be less than time start bid!","Thời gian chờ điểm danh phải nhỏ hơn thời gian bắt đầu trả giá!"
"Time start bid must be greater than time wait attendence!","Thời gian bắt đầu trả giá lớn hơn thời gian chờ điểm danh!"
"Time start bid must be greater than time end register!","Thời gian bắt đầu trả giá phải lớn hơn thời gian kết thúc đăng ký đấu giá!"
"Time start bid must be greater than time start register!","Thời gian bắt đầu trả giá phải lớn hơn thời gian bắt đầu đăng ký đấu giá!"
"Time end bid must be greater than time start bid!","Thời gian kết thúc trả giá phải lớn hơn thời gian bắt đầu trả giá!"
"Time end bid must be greater than time wait attendence!","Thời gian kết thúc trả giá phải lớn hơn thời gian chờ điểm danh!"
"Time end bid must be greater than time start register!","Thời gian kết thúc trả giá phải lớn hơn thời gian bắt đầu đăng ký đấu giá!"
"Time end bid must be greater than time end register!","Thời gian kết thúc trả giá phải lớn hơn thời gian kết thúc đăng ký đấu giá!"
"Time wait attendence must be greater than time end register!","Thời gian chờ điểm danh phải lớn hơn thời gian kết thúc đăng ký đấu giá!"
"End auction","Kết thúc đấu giá"
"Going to happen","Sắp xảy ra"
"Please enter full name!","Vui lòng nhập họ và tên!"
"Please enter email!","Vui lòng nhập email!"
"Please enter product name!","Vui lòng nhập tên sản phẩm!"
"Please enter sku!","Vui lòng nhập mã sản phẩm!"
"Please enter price!","Vui lòng nhập giá bán sản phẩm!"
"Please enter step price!","Vui lòng nhập bước giá!"
"Please enter address!","Vui lòng nhập địa chỉ!"
"Please enter state!","Vui lòng nhập tỉnh, thành phố!"
"Please enter district!","Vui lòng nhập tên huyện!"
"Please enter commune!","Vui lòng nhập tên xã!"
"Please enter description!","Vui lòng nhập mô tả!"
"Enter product name","Nhập tên tài sản"
"You are registed!","Bạn đã đăng ký!"
"Enter auction secretary name","Nhập họ và tên thư kí phiên đấu giá"
"Enter representative participating in the auction","Nhập họ và tên thư kí đại diện người tham gia đấu giá"
"Enter auctioneer","Nhập họ và tên đấu giá viên"
"Setup time must be greater than current time!","Thời gian thiết lập phải lớn hơn thời gian hiện tại!"
"View image","Hình ảnh"
"View map","Xem bản đồ"
"You have been removed from the auction!","Bạn đã bị xóa ra khỏi phiên đấu giá!"
"Are you sure want to convert from active to not active?","Bạn có chắc muốn đổi trạng thái từ kích hoạt sang không kích hoạt?"
"Are you sure want to convert from not active to  active?","Bạn có chắc muốn đổi trạng thái từ không kích hoạt sang kích hoạt?"
"Change status success","Đổi trạng thái phiên đấu giá thành công."
"Cannot save because deposit price percent greater than 20!","Không thể lưu do phần trăm giá đặt trước lớn hơn 20!"
"You saved the auction session.","Bạn đã lưu phiên đấu giá thành công."
"Save the defective product. Please re-enter","Lưu sản phẩm bị lỗi. Vui lòng thao tác lại"
"You have successfully confirmed the auction winner.","Bạn đã xác nhận người chiến thắng phiên đấu giá thành công."
"Auction End","Kết thúc đấu giá"
"Change status success","Chỉnh sửa trạng thái thành công."
"You saved the auction session.","Lưu thông tin phiên đấu giá thành công."
